userid,college,status
keriCertie365,DePauw University,pending
keriCertie365,Franklin and Marshall College,denied
keriCertie365,University of San Diego,accepted
keriCertie365,William Jewell College,accepted
evvieSamuelson4223,Wagner College,pending
evvieSamuelson4223,Illinois College,accepted
evvieSamuelson4223,Transylvania University,pending
evvieSamuelson4223,Manhattan College,pending
tiffiBorchert6462,Rochester Institute of Technology,accepted
tiffiBorchert6462,Illinois College,wait-listed
tiffiBorchert6462,California State University-Monterey Bay,pending
tiffiBorchert6462,University of California-Davis,accepted
tiffiBorchert6462,School of the Art Institute of Chicago,pending
tiffiBorchert6462,DePaul University,pending
tiffiBorchert6462,University of Houston,accepted
tiffiBorchert6462,Lawrence Technological University,pending
tiffiBorchert6462,Merrimack College,wait-listed
tiffiBorchert6462,University of Kentucky,pending
tiffiBorchert6462,Smith College,pending
tiffiBorchert6462,Carnegie Mellon University,denied
tiffiBorchert6462,University of Hartford,pending
tiffiBorchert6462,The College of Saint Scholastica,pending
tiffiBorchert6462,Eastern Illinois University,accepted
tiffiBorchert6462,Temple University,wait-listed
rianonDaveta6817,Texas Tech University,pending
rianonDaveta6817,DePaul University,pending
rianonDaveta6817,Campbell University,pending
rianonDaveta6817,Kennesaw State University,wait-listed
rianonDaveta6817,Illinois College,accepted
rianonDaveta6817,Idaho State University,accepted
rianonDaveta6817,Massachusetts Institute of Technology,pending
rianonDaveta6817,Clarkson University,accepted
rianonDaveta6817,Utah State University,accepted
rianonDaveta6817,Gannon University,pending
rianonDaveta6817,Central Connecticut State University,accepted
charlenaRush1026,Hope College,accepted
charlenaRush1026,Gettysburg College,pending
charlenaRush1026,Mississippi State University,wait-listed
charlenaRush1026,Merrimack College,wait-listed
charlenaRush1026,Suffolk University,pending
charlenaRush1026,Clarkson University,pending
rosalineTabor7478,University of Richmond,pending
rosalineTabor7478,The College of Saint Scholastica,accepted
rosalineTabor7478,University of Houston,accepted
rosalineTabor7478,Eastern Washington University,pending
rosalineTabor7478,Smith College,pending
rosalineTabor7478,Utah State University,accepted
rosalineTabor7478,Williams College,denied
rosalineTabor7478,University of Massachusetts-Amherst,pending
barryRemmer3544,Mercer University,wait-listed
barryRemmer3544,DePauw University,pending
barryRemmer3544,The College of Wooster,pending
barryRemmer3544,Nova Southeastern University,denied
barryRemmer3544,California State University-East Bay,wait-listed
barryRemmer3544,Carnegie Mellon University,pending
barryRemmer3544,University of San Diego,pending
barryRemmer3544,Berry College,accepted
barryRemmer3544,Salve Regina University,wait-listed
barryRemmer3544,University of Nevada-Las Vegas,pending
barryRemmer3544,University of Delaware,wait-listed
barryRemmer3544,Massachusetts Institute of Technology,pending
barryRemmer3544,University of Massachusetts-Amherst,accepted
barryRemmer3544,Centre College,pending
starlinFlss8274,Washington & Jefferson College,accepted
starlinFlss8274,University of Houston,accepted
starlinFlss8274,Northwestern University,denied
starlinFlss8274,Barnard College,denied
starlinFlss8274,University of Hartford,pending
starlinFlss8274,Centre College,pending
starlinFlss8274,John Carroll University,pending
starlinFlss8274,Saint Louis University,accepted
starlinFlss8274,Indiana University-Bloomington,accepted
starlinFlss8274,The College of Saint Scholastica,accepted
starlinFlss8274,Utah State University,pending
starlinFlss8274,DePauw University,accepted
starlinFlss8274,Princeton University,wait-listed
starlinFlss8274,University of Delaware,accepted
starlinFlss8274,New Jersey Institute of Technology,wait-listed
starlinFlss8274,University of Nevada-Las Vegas,pending
joannaGeorgena327,Eastern Illinois University,denied
joannaGeorgena327,University of Kentucky,pending
joannaGeorgena327,North Park University,pending
joannaGeorgena327,Indiana University-Bloomington,pending
joannaGeorgena327,Northwestern University,pending
joannaGeorgena327,Centre College,pending
joannaGeorgena327,St Bonaventure University,accepted
joannaGeorgena327,Franklin and Marshall College,pending
joannaGeorgena327,University of Alabama at Birmingham,accepted
joannaGeorgena327,Washington & Jefferson College,pending
joannaGeorgena327,California State University-East Bay,pending
joannaGeorgena327,Williams College,wait-listed
joannaGeorgena327,University of Hartford,accepted
joannaGeorgena327,Massachusetts Institute of Technology,wait-listed
joannaGeorgena327,DePaul University,accepted
joannaGeorgena327,University of California-Santa Cruz,denied
joannaGeorgena327,Carnegie Mellon University,pending
loellaUdell5467,Drake University,pending
loellaUdell5467,Kennesaw State University,pending
loellaUdell5467,Rice University,pending
loellaUdell5467,Colgate University,denied
loellaUdell5467,University of Delaware,wait-listed
loellaUdell5467,University of Arkansas,pending
loellaUdell5467,University of Nevada-Las Vegas,pending
loellaUdell5467,DePaul University,accepted
loellaUdell5467,Gordon College,wait-listed
loellaUdell5467,Transylvania University,wait-listed
loellaUdell5467,Stony Brook University,pending
loellaUdell5467,Massachusetts Institute of Technology,wait-listed
loellaUdell5467,Suffolk University,pending
loellaUdell5467,Kalamazoo College,wait-listed
loellaUdell5467,Eastern Washington University,pending
tobyeCharie401,Northwestern University,denied
tobyeCharie401,Illinois College,accepted
tobyeCharie401,Manhattan College,wait-listed
tobyeCharie401,University of California-Santa Barbara,denied
tobyeCharie401,New Jersey Institute of Technology,accepted
tobyeCharie401,Texas Tech University,accepted
tobyeCharie401,The University of Alabama,pending
tobyeCharie401,University of Nevada-Reno,pending
tobyeCharie401,Iona College,accepted
tobyeCharie401,University of Arizona,pending
tobyeCharie401,Providence College,pending
nellieKalindi4789,Texas Christian University,pending
nellieKalindi4789,The College of Wooster,pending
nellieKalindi4789,The University of Alabama,accepted
nellieKalindi4789,University of California-Santa Barbara,denied
nellieKalindi4789,Franklin and Marshall College,pending
nellieKalindi4789,Rochester Institute of Technology,wait-listed
nellieKalindi4789,California State University-East Bay,accepted
nellieKalindi4789,San Diego State University,denied
wendyCherianne7806,University of Nevada-Las Vegas,accepted
wendyCherianne7806,University of Delaware,accepted
wendyCherianne7806,Kalamazoo College,pending
wendyCherianne7806,Eastern Washington University,accepted
wendyCherianne7806,University of California-Davis,accepted
wendyCherianne7806,Samford University,accepted
wendyCherianne7806,Drake University,accepted
wendyCherianne7806,Illinois College,accepted
wendyCherianne7806,Central Connecticut State University,accepted
wendyCherianne7806,University of Nevada-Reno,pending
wendyCherianne7806,Lawrence Technological University,pending
wendyCherianne7806,North Park University,accepted
wendyCherianne7806,School of the Art Institute of Chicago,wait-listed
mehetabelHayton7023,Indiana University-Bloomington,pending
mehetabelHayton7023,California State University-Fresno,accepted
mehetabelHayton7023,University of California-Santa Barbara,pending
mehetabelHayton7023,Suffolk University,pending
mehetabelHayton7023,North Park University,wait-listed
mehetabelHayton7023,Lawrence Technological University,pending
mehetabelHayton7023,New York University,pending
mehetabelHayton7023,American University,denied
mehetabelHayton7023,Temple University,pending
mehetabelHayton7023,Washington & Jefferson College,wait-listed
mehetabelHayton7023,Reed College,pending
mehetabelHayton7023,University of California-Davis,pending
mehetabelHayton7023,University of Nevada-Reno,accepted
mehetabelHayton7023,Nova Southeastern University,wait-listed
mehetabelHayton7023,Gordon College,pending
mehetabelHayton7023,Berry College,accepted
mehetabelHayton7023,Colgate University,denied
perlNoelani2776,University of California-Santa Barbara,pending
perlNoelani2776,John Carroll University,accepted
perlNoelani2776,Washington & Jefferson College,pending
perlNoelani2776,Texas Tech University,wait-listed
perlNoelani2776,North Park University,accepted
perlNoelani2776,Kennesaw State University,pending
perlNoelani2776,University of Nevada-Reno,pending
perlNoelani2776,Colorado College,pending
perlNoelani2776,Carnegie Mellon University,denied
perlNoelani2776,California State University-Fresno,accepted
perlNoelani2776,University of California-Davis,accepted
perlNoelani2776,William Jewell College,denied
perlNoelani2776,Drexel University,pending
odelindaMehta2115,University of Utah,denied
odelindaMehta2115,Colorado College,pending
odelindaMehta2115,Transylvania University,accepted
odelindaMehta2115,North Park University,pending
odelindaMehta2115,Roger Williams University,accepted
odelindaMehta2115,University of California-Santa Barbara,denied
odelindaMehta2115,New York University,pending
odelindaMehta2115,Rice University,denied
odelindaMehta2115,New Jersey Institute of Technology,pending
odelindaMehta2115,American University,pending
odelindaMehta2115,University of Central Florida,pending
odelindaMehta2115,Stony Brook University,pending
odelindaMehta2115,Gettysburg College,pending
odelindaMehta2115,St Bonaventure University,pending
odelindaMehta2115,Kennesaw State University,accepted
kathleenPearlman2719,Princeton University,pending
kathleenPearlman2719,Colorado College,pending
kathleenPearlman2719,Drexel University,pending
kathleenPearlman2719,Manhattan College,accepted
kathleenPearlman2719,University of Illinois at Chicago,accepted
kathleenPearlman2719,Northwestern University,pending
kathleenPearlman2719,Barnard College,denied
kathleenPearlman2719,New York University,pending
kathleenPearlman2719,University of California-Santa Cruz,accepted
kathleenPearlman2719,Berry College,pending
kathleenPearlman2719,Indiana University-Bloomington,pending
kathleenPearlman2719,University of Alabama at Birmingham,accepted
kathleenPearlman2719,University of California-Santa Barbara,accepted
kathleenPearlman2719,The University of Montana,accepted
kathleenPearlman2719,The College of Saint Scholastica,pending
kathleenPearlman2719,Lawrence Technological University,denied
didoEradis2628,University of Nevada-Reno,accepted
didoEradis2628,Temple University,pending
didoEradis2628,Iona College,pending
didoEradis2628,University of Alabama at Birmingham,wait-listed
didoEradis2628,Providence College,accepted
didoEradis2628,Kalamazoo College,wait-listed
didoEradis2628,University of Houston,denied
didoEradis2628,Centre College,pending
didoEradis2628,William Jewell College,pending
didoEradis2628,Indiana University-Bloomington,wait-listed
didoEradis2628,Rider University,accepted
didoEradis2628,Gannon University,accepted
didoEradis2628,Washington & Jefferson College,accepted
didoEradis2628,American University,denied
didoEradis2628,Hendrix College,pending
didoEradis2628,Colorado College,pending
didoEradis2628,Suffolk University,pending
corinneKeung3571,University of Hartford,wait-listed
corinneKeung3571,Mercer University,accepted
corinneKeung3571,Colorado College,pending
corinneKeung3571,Kalamazoo College,accepted
corinneKeung3571,Salve Regina University,pending
corinneKeung3571,Moravian College,wait-listed
corinneKeung3571,The University of Montana,wait-listed
carmenJack9670,John Carroll University,accepted
carmenJack9670,Central Connecticut State University,pending
carmenJack9670,American University,accepted
carmenJack9670,Gettysburg College,pending
carmenJack9670,Franklin and Marshall College,wait-listed
carmenJack9670,Campbell University,accepted
carmenJack9670,California State University-East Bay,pending
carmenJack9670,Saint Louis University,accepted
analieseHolden1326,California State University-Monterey Bay,accepted
analieseHolden1326,Berry College,pending
analieseHolden1326,Franklin and Marshall College,denied
analieseHolden1326,Providence College,pending
analieseHolden1326,Vassar College,pending
analieseHolden1326,Mount Holyoke College,denied
analieseHolden1326,Carnegie Mellon University,denied
analieseHolden1326,Idaho State University,accepted
analieseHolden1326,Reed College,pending
analieseHolden1326,San Diego State University,pending
analieseHolden1326,Stony Brook University,accepted
analieseHolden1326,Manhattan College,accepted
analieseHolden1326,Hope College,wait-listed
analieseHolden1326,University of Nevada-Las Vegas,pending
analieseHolden1326,The College of Wooster,pending
mufinellaKone4172,Vassar College,denied
mufinellaKone4172,Clarkson University,accepted
mufinellaKone4172,Illinois College,pending
mufinellaKone4172,University of Maine,accepted
mufinellaKone4172,Merrimack College,accepted
mufinellaKone4172,University of Kentucky,pending
mufinellaKone4172,Indiana University-Bloomington,pending
mufinellaKone4172,Hope College,accepted
mufinellaKone4172,New Jersey Institute of Technology,wait-listed
mufinellaKone4172,Florida Gulf Coast University,pending
vinBirmingham1300,Reed College,denied
vinBirmingham1300,Mercer University,accepted
vinBirmingham1300,Stony Brook University,pending
vinBirmingham1300,North Park University,pending
vinBirmingham1300,Smith College,pending
vinBirmingham1300,Gannon University,accepted
vinBirmingham1300,John Carroll University,pending
vinBirmingham1300,Williams College,pending
vinBirmingham1300,University of California-Santa Cruz,pending
vinBirmingham1300,School of the Art Institute of Chicago,wait-listed
vinBirmingham1300,Drexel University,accepted
vinBirmingham1300,Rider University,pending
vinBirmingham1300,The University of Montana,accepted
vinBirmingham1300,Mount Holyoke College,pending
vinBirmingham1300,Central Connecticut State University,pending
vinBirmingham1300,American University,accepted
vinBirmingham1300,Florida Gulf Coast University,pending
vinBirmingham1300,University of Kentucky,pending
charmaneSchnapp7448,American University,pending
charmaneSchnapp7448,Suffolk University,pending
charmaneSchnapp7448,Drexel University,pending
charmaneSchnapp7448,Colorado College,accepted
charmaneSchnapp7448,University of California-Santa Cruz,pending
charmaneSchnapp7448,Merrimack College,accepted
charmaneSchnapp7448,Texas Christian University,pending
charmaneSchnapp7448,University of Arkansas,pending
charmaneSchnapp7448,Mount Holyoke College,accepted
charmaneSchnapp7448,Rochester Institute of Technology,pending
charmaneSchnapp7448,DePauw University,accepted
charmaneSchnapp7448,Siena College,accepted
charmaneSchnapp7448,Mercer University,pending
doeCulosio5843,DePauw University,accepted
doeCulosio5843,New Jersey Institute of Technology,accepted
gaelZwick2810,Texas Tech University,wait-listed
gaelZwick2810,California State University-Fresno,accepted
gaelZwick2810,Colorado College,denied
gaelZwick2810,University of Arkansas,pending
gaelZwick2810,Siena College,accepted
gaelZwick2810,Berry College,pending
dollieMacNamara8930,Utah State University,pending
dollieMacNamara8930,Clarkson University,pending
dollieMacNamara8930,Drexel University,accepted
hestiaGleeson426,Rochester Institute of Technology,denied
hestiaGleeson426,University of Arizona,accepted
hestiaGleeson426,Princeton University,pending
hestiaGleeson426,Franklin and Marshall College,pending
hestiaGleeson426,Illinois College,pending
hestiaGleeson426,Suffolk University,pending
hestiaGleeson426,Berry College,pending
hestiaGleeson426,University of Richmond,wait-listed
hestiaGleeson426,Eastern Washington University,accepted
hestiaGleeson426,Gettysburg College,denied
hestiaGleeson426,University of Massachusetts-Amherst,denied
hestiaGleeson426,New York University,pending
hestiaGleeson426,Colgate University,pending
hestiaGleeson426,Texas Tech University,accepted
hestiaGleeson426,Nova Southeastern University,denied
hestiaGleeson426,Colorado College,pending
abigaleHashimoto5791,Samford University,pending
abigaleHashimoto5791,Berry College,pending
abigaleHashimoto5791,Hope College,pending
abigaleHashimoto5791,SUNY College of Environmental Science and Forestry,pending
abigaleHashimoto5791,The University of Alabama,accepted
sueHound448,University of Richmond,pending
sueHound448,Temple University,accepted
sueHound448,St Bonaventure University,accepted
sueHound448,Drake University,pending
sueHound448,William Jewell College,wait-listed
sueHound448,Missouri University of Science and Technology,accepted
sueHound448,Centre College,accepted
sueHound448,Stony Brook University,wait-listed
sueHound448,University of Massachusetts-Amherst,accepted
sueHound448,Smith College,pending
sueHound448,University of California-Santa Barbara,pending
sueHound448,University of Maine,pending
sueHound448,North Park University,pending
sueHound448,University of Kentucky,pending
sueHound448,Salve Regina University,pending
sueHound448,Merrimack College,accepted
sueHound448,American University,pending
hyacintheMartel7701,University of San Diego,denied
hyacintheMartel7701,University of Illinois at Chicago,pending
hyacintheMartel7701,The University of Montana,accepted
hyacintheMartel7701,University of California-Santa Barbara,pending
hyacintheMartel7701,New York University,denied
hyacintheMartel7701,Hendrix College,accepted
hyacintheMartel7701,Mississippi State University,accepted
joannHebner2462,University of Arkansas,accepted
joannHebner2462,Gettysburg College,pending
joannHebner2462,Fordham University,pending
joannHebner2462,Missouri University of Science and Technology,accepted
joannHebner2462,University of Houston,accepted
joannHebner2462,University of Richmond,pending
joannHebner2462,Utah State University,pending
joannHebner2462,Texas Christian University,pending
joannHebner2462,Texas Tech University,accepted
joannHebner2462,San Diego State University,pending
joannHebner2462,Reed College,pending
joannHebner2462,Kalamazoo College,pending
joannHebner2462,University of Illinois at Chicago,pending
noveliaBrownley6740,Illinois College,pending
noveliaBrownley6740,Eastern Washington University,pending
noveliaBrownley6740,American University,pending
noveliaBrownley6740,Hope College,pending
noveliaBrownley6740,University of Alabama at Birmingham,pending
noveliaBrownley6740,North Park University,denied
noveliaBrownley6740,University of Arizona,pending
noveliaBrownley6740,Mississippi State University,accepted
noveliaBrownley6740,Centre College,pending
noveliaBrownley6740,Fordham University,pending
noveliaBrownley6740,Mercer University,pending
noveliaBrownley6740,Stevenson University,pending
noveliaBrownley6740,DePaul University,accepted
karlaCarpio5494,William Jewell College,pending
karlaCarpio5494,North Park University,accepted
karlaCarpio5494,St Bonaventure University,accepted
karlaCarpio5494,Princeton University,pending
karlaCarpio5494,Saint Louis University,accepted
karlaCarpio5494,Mount Holyoke College,wait-listed
karlaCarpio5494,University of Maine,wait-listed
karlaCarpio5494,Mississippi State University,accepted
karlaCarpio5494,Gannon University,wait-listed
karlaCarpio5494,Mercer University,accepted
karlaCarpio5494,Fordham University,accepted
jodieMelton4054,Iona College,wait-listed
jodieMelton4054,Kalamazoo College,pending
jodieMelton4054,Siena College,pending
jodieMelton4054,Centre College,pending
jodieMelton4054,St Bonaventure University,pending
jodieMelton4054,Indiana University-Bloomington,pending
arabelaJard1441,Berry College,pending
arabelaJard1441,Texas Christian University,denied
arabelaJard1441,Samford University,accepted
arabelaJard1441,University of Arkansas,pending
arabelaJard1441,University of Alabama at Birmingham,accepted
arabelaJard1441,New Jersey Institute of Technology,pending
blanchRodolphe6323,New Jersey Institute of Technology,pending
blanchRodolphe6323,Mississippi State University,accepted
blanchRodolphe6323,University of Nevada-Las Vegas,pending
blanchRodolphe6323,Gordon College,pending
blanchRodolphe6323,Gettysburg College,denied
blanchRodolphe6323,Texas Christian University,pending
blanchRodolphe6323,University of Richmond,wait-listed
blanchRodolphe6323,Moravian College,pending
blanchRodolphe6323,California State University-Monterey Bay,accepted
blanchRodolphe6323,Williams College,denied
blanchRodolphe6323,The University of Montana,pending
blanchRodolphe6323,Nova Southeastern University,pending
blanchRodolphe6323,University of Nevada-Reno,pending
blanchRodolphe6323,Indiana University-Bloomington,wait-listed
blanchRodolphe6323,Texas Tech University,pending
blanchRodolphe6323,The College of Wooster,pending
cathrineDonoho2674,University of Nevada-Reno,pending
cathrineDonoho2674,Kalamazoo College,wait-listed
cathrineDonoho2674,Salve Regina University,accepted
cathrineDonoho2674,Gannon University,pending
cathrineDonoho2674,University of California-Santa Cruz,pending
cathrineDonoho2674,Mercer University,wait-listed
cathrineDonoho2674,Moravian College,pending
cathrineDonoho2674,Princeton University,pending
cathrineDonoho2674,Nova Southeastern University,accepted
cathrineDonoho2674,Rider University,wait-listed
cathrineDonoho2674,University of Houston,denied
cathrineDonoho2674,Suffolk University,accepted
cathrineDonoho2674,Stony Brook University,pending
rochellMilurd2837,DePaul University,pending
rochellMilurd2837,University of California-Santa Barbara,accepted
rochellMilurd2837,Barnard College,denied
rochellMilurd2837,Eastern Illinois University,pending
keriannBruning7944,Westmont College,pending
keriannBruning7944,Mississippi State University,accepted
theklaGrieve7248,California State University-Monterey Bay,accepted
theklaGrieve7248,Rochester Institute of Technology,accepted
theklaGrieve7248,Carnegie Mellon University,pending
theklaGrieve7248,Hope College,pending
theklaGrieve7248,Barnard College,pending
theklaGrieve7248,Salve Regina University,accepted
theklaGrieve7248,Wagner College,pending
theklaGrieve7248,Washington & Jefferson College,pending
theklaGrieve7248,Rider University,accepted
celisseJacobine3590,Gannon University,pending
celisseJacobine3590,Franklin and Marshall College,wait-listed
celisseJacobine3590,Moravian College,accepted
celisseJacobine3590,University of Nevada-Reno,accepted
celisseJacobine3590,New Jersey Institute of Technology,pending
celisseJacobine3590,Northwestern University,pending
celisseJacobine3590,Central Connecticut State University,wait-listed
celisseJacobine3590,University of Nevada-Las Vegas,wait-listed
celisseJacobine3590,Westmont College,pending
celisseJacobine3590,University of San Diego,pending
celisseJacobine3590,University of California-Santa Cruz,pending
kirsteniGauthier9592,University of Arizona,accepted
dosiArcher7704,Kennesaw State University,accepted
dosiArcher7704,Mount Holyoke College,denied
dosiArcher7704,University of Hartford,accepted
dosiArcher7704,Reed College,denied
dosiArcher7704,University of Utah,pending
dosiArcher7704,University of Massachusetts-Amherst,accepted
haleighSansbury5403,University of Illinois at Chicago,accepted
haleighSansbury5403,California State University-Monterey Bay,accepted
haleighSansbury5403,University of Utah,pending
haleighSansbury5403,University of Kentucky,pending
haleighSansbury5403,Clarkson University,pending
haleighSansbury5403,Barnard College,denied
haleighSansbury5403,Berry College,pending
haleighSansbury5403,Colorado College,pending
haleighSansbury5403,The College of Saint Scholastica,pending
haleighSansbury5403,St Bonaventure University,pending
haleighSansbury5403,University of San Diego,pending
haleighSansbury5403,William Jewell College,denied
haleighSansbury5403,Smith College,pending
haleighSansbury5403,University of Delaware,wait-listed
haleighSansbury5403,Saint Louis University,pending
haleighSansbury5403,The College of Wooster,accepted
haleighSansbury5403,Mount Holyoke College,pending
keelyAlexi3041,Reed College,denied
keelyAlexi3041,Rochester Institute of Technology,denied
keelyAlexi3041,Kalamazoo College,pending
keelyAlexi3041,University of Kentucky,accepted
keelyAlexi3041,University of Arkansas,pending
valryLaurel6549,Williams College,pending
valryLaurel6549,Massachusetts Institute of Technology,pending
valryLaurel6549,Manhattan College,pending
doriaSchwenk5856,The College of Wooster,pending
doriaSchwenk5856,William Jewell College,pending
doriaSchwenk5856,Temple University,pending
doriaSchwenk5856,Eastern Illinois University,accepted
doriaSchwenk5856,Texas Christian University,denied
doriaSchwenk5856,Providence College,pending
doriaSchwenk5856,Rider University,accepted
doriaSchwenk5856,Clarkson University,pending
doriaSchwenk5856,North Park University,accepted
doriaSchwenk5856,California State University-Fresno,accepted
doriaSchwenk5856,John Carroll University,accepted
doriaSchwenk5856,Manhattan College,pending
doriaSchwenk5856,Franklin and Marshall College,pending
doriaSchwenk5856,University of Nevada-Reno,pending
doriaSchwenk5856,Transylvania University,accepted
doriaSchwenk5856,Samford University,wait-listed
doriaSchwenk5856,Iona College,accepted
janineMandie3206,University of Nevada-Reno,pending
janineMandie3206,Kalamazoo College,pending
janineMandie3206,Clarkson University,denied
janineMandie3206,Drexel University,pending
janineMandie3206,Utah State University,pending
janineMandie3206,Hope College,accepted
janineMandie3206,Westmont College,pending
janineMandie3206,Roger Williams University,pending
janineMandie3206,Vassar College,pending
dorieFarrell7088,Providence College,accepted
dorieFarrell7088,University of Houston,accepted
dorieFarrell7088,University of Central Florida,accepted
dorieFarrell7088,New York University,denied
dorieFarrell7088,Williams College,pending
dorieFarrell7088,Wagner College,pending
fiannaKlute9709,University of Nevada-Las Vegas,accepted
fiannaKlute9709,California State University-Fresno,denied
fiannaKlute9709,Hope College,pending
fiannaKlute9709,William Jewell College,pending
fiannaKlute9709,Central Connecticut State University,pending
fiannaKlute9709,Iona College,accepted
fiannaKlute9709,Florida Gulf Coast University,wait-listed
fiannaKlute9709,Massachusetts Institute of Technology,pending
fiannaKlute9709,Smith College,pending
fiannaKlute9709,Barnard College,pending
fiannaKlute9709,Carnegie Mellon University,denied
fiannaKlute9709,Stony Brook University,accepted
fiannaKlute9709,Princeton University,denied
fiannaKlute9709,Campbell University,wait-listed
fiannaKlute9709,New Jersey Institute of Technology,accepted
dolleyWeisbart3232,Reed College,pending
dolleyWeisbart3232,Indiana University-Bloomington,pending
dolleyWeisbart3232,Roger Williams University,pending
dolleyWeisbart3232,Berry College,denied
dolleyWeisbart3232,Massachusetts Institute of Technology,pending
dolleyWeisbart3232,University of Arizona,pending
dolleyWeisbart3232,University of Nevada-Las Vegas,pending
